Temperature,Initial Concentration,Time,A,B,I
30,50,0,50,0,0
30,50,0.5,38.731,10.83,0.439
30,50,1,30.002,18.421,1.577
30,50,1.5,23.24,23.561,3.199
30,50,2,18.002,26.857,5.14
30,50,2.5,13.945,28.776,7.279
30,50,3,10.802,29.674,9.524
30,50,3.5,8.368,29.826,11.807
30,50,4,6.482,29.438,14.08
30,50,4.5,5.021,28.671,16.308
30,50,5,3.889,27.644,18.467
30,50,5.5,3.013,26.448,20.54
30,50,6,2.334,25.15,22.517
30,50,6.5,1.808,23.8,24.392
30,50,7,1.4,22.437,26.163
30,50,7.5,1.085,21.085,27.83
30,50,8,0.84,19.765,29.395
30,50,8.5,0.651,18.489,30.86
30,50,9,0.504,17.267,32.229
30,50,9.5,0.391,16.102,33.507
30,50,10,0.303,14.999,34.698
30,100,0,100,0,0
30,100,0.5,77.462,21.661,0.877
30,100,1,60.004,36.842,3.154
30,100,1.5,46.48,47.122,6.397
30,100,2,36.005,53.715,10.281
30,100,2.5,27.89,57.552,14.558
30,100,3,21.604,59.349,19.047
30,100,3.5,16.735,59.651,23.614
30,100,4,12.963,58.877,28.16
30,100,4.5,10.042,57.342,32.616
30,100,5,7.779,55.288,36.933
30,100,5.5,6.025,52.896,41.079
30,100,6,4.667,50.3,45.033
30,100,6.5,3.616,47.601,48.784
30,100,7,2.801,44.873,52.326
30,100,7.5,2.169,42.17,55.66
30,100,8,1.681,39.53,58.79
30,100,8.5,1.302,36.979,61.72
30,100,9,1.008,34.533,64.458
30,100,9.5,0.781,32.205,67.014
30,100,10,0.605,29.999,69.396
30,200,0,200,0,0
30,200,0.5,154.924,43.322,1.754
30,200,1,120.008,73.684,6.308
30,200,1.5,92.961,94.245,12.795
30,200,2,72.009,107.43,20.561
30,200,2.5,55.78,115.104,29.116
30,200,3,43.208,118.697,38.094
30,200,3.5,33.47,119.302,47.228
30,200,4,25.927,117.753,56.32
30,200,4.5,20.083,114.685,65.232
30,200,5,15.557,110.577,73.866
30,200,5.5,12.051,105.791,82.158
30,200,6,9.335,100.599,90.066
30,200,6.5,7.231,95.202,97.568
30,200,7,5.601,89.746,104.652
30,200,7.5,4.339,84.341,111.321
30,200,8,3.361,79.06,117.579
30,200,8.5,2.604,73.957,123.439
30,200,9,2.017,69.067,128.917
30,200,9.5,1.562,64.41,134.028
30,200,10,1.21,59.998,138.792
40,50,0,50,0,0
40,50,0.5,34.462,14.651,0.887
40,50,1,23.753,23.201,3.046
40,50,1.5,16.372,27.71,5.918
40,50,2,11.284,29.58,9.135
40,50,2.5,7.778,29.762,12.46
40,50,3,5.361,28.897,15.742
40,50,3.5,3.695,27.415,18.89
40,50,4,2.547,25.602,21.852
40,50,4.5,1.755,23.643,24.601
40,50,5,1.21,21.66,27.13
40,50,5.5,0.834,19.726,29.44
40,50,6,0.575,17.887,31.539
40,50,6.5,0.396,16.166,33.438
40,50,7,0.273,14.574,35.153
40,50,7.5,0.188,13.114,36.697
40,50,8,0.13,11.784,38.086
40,50,8.5,0.089,10.577,39.333
40,50,9,0.062,9.486,40.452
40,50,9.5,0.043,8.502,41.456
40,50,10,0.029,7.616,42.354
40,100,0,100,0,0
40,100,0.5,68.925,29.302,1.773
40,100,1,47.506,46.403,6.091
40,100,1.5,32.744,55.421,11.836
40,100,2,22.568,59.161,18.271
40,100,2.5,15.555,59.524,24.921
40,100,3,10.721,57.794,31.485
40,100,3.5,7.39,54.83,37.78
40,100,4,5.093,51.203,43.704
40,100,4.5,3.511,47.287,49.203
40,100,5,2.42,43.32,54.261
40,100,5.5,1.668,39.453,58.88
40,100,6,1.15,35.774,63.077
40,100,6.5,0.792,32.331,66.877
40,100,7,0.546,29.148,70.306
40,100,7.5,0.376,26.229,73.395
40,100,8,0.259,23.568,76.172
40,100,8.5,0.179,21.155,78.667
40,100,9,0.123,18.972,80.905
40,100,9.5,0.085,17.004,82.911
40,100,10,0.059,15.233,84.709
40,200,0,200,0,0
40,200,0.5,137.85,58.604,3.547
40,200,1,95.013,92.805,12.182
40,200,1.5,65.487,110.842,23.671
40,200,2,45.137,118.321,36.542
40,200,2.5,31.111,119.048,49.842
40,200,3,21.443,115.588,62.97
40,200,3.5,14.779,109.66,75.56
40,200,4,10.187,102.406,87.407
40,200,4.5,7.021,94.573,98.406
40,200,5,4.839,86.64,108.521
40,200,5.5,3.336,78.905,117.759
40,200,6,2.299,71.547,126.154
40,200,6.5,1.585,64.663,133.753
40,200,7,1.092,58.296,140.612
40,200,7.5,0.753,52.458,146.79
40,200,8,0.519,47.137,152.345
40,200,8.5,0.358,42.309,157.333
40,200,9,0.247,37.944,161.809
40,200,9.5,0.17,34.008,165.822
40,200,10,0.117,30.465,169.418
50,50,0,50,0,0
50,50,0.5,29.435,18.881,1.684
50,50,1,17.329,27.222,5.45
50,50,1.5,10.201,29.765,10.034
50,50,2,6.006,29.243,14.752
50,50,2.5,3.536,27.213,19.251
50,50,3,2.081,24.549,23.37
50,50,3.5,1.225,21.727,27.047
50,50,4,0.721,18.997,30.282
50,50,4.5,0.425,16.478,33.098
50,50,5,0.25,14.216,35.534
50,50,5.5,0.147,12.222,37.631
50,50,6,0.087,10.481,39.432
50,50,6.5,0.051,8.973,40.976
50,50,7,0.03,7.674,42.296
50,50,7.5,0.018,6.558,43.425
50,50,8,0.01,5.601,44.389
50,50,8.5,0.006,4.781,45.213
50,50,9,0.004,4.081,45.915
50,50,9.5,0.002,3.483,46.515
50,50,10,0.001,2.972,47.027
50,100,0,100,0,0
50,100,0.5,58.87,37.762,3.367
50,100,1,34.657,54.443,10.899
50,100,1.5,20.403,59.53,20.067
50,100,2,12.011,58.486,29.503
50,100,2.5,7.071,54.426,38.503
50,100,3,4.163,49.098,46.739
50,100,3.5,2.451,43.455,54.095
50,100,4,1.443,37.994,60.564
50,100,4.5,0.849,32.955,66.196
50,100,5,0.5,28.433,71.067
50,100,5.5,0.294,24.443,75.263
50,100,6,0.173,20.962,78.865
50,100,6.5,0.102,17.947,81.951
50,100,7,0.06,15.348,84.592
50,100,7.5,0.035,13.115,86.85
50,100,8,0.021,11.201,88.778
50,100,8.5,0.012,9.563,90.425
50,100,9,0.007,8.162,91.831
50,100,9.5,0.004,6.965,93.031
50,100,10,0.003,5.943,94.054
50,200,0,200,0,0
50,200,0.5,117.741,75.524,6.735
50,200,1,69.315,108.887,21.799
50,200,1.5,40.806,119.059,40.135
50,200,2,24.023,116.972,59.006
50,200,2.5,14.142,108.853,77.005
50,200,3,8.326,98.196,93.478
50,200,3.5,4.901,86.909,108.19
50,200,4,2.885,75.988,121.127
50,200,4.5,1.699,65.91,132.391
50,200,5,1,56.865,142.135
50,200,5.5,0.589,48.886,150.525
50,200,6,0.347,41.924,157.73
50,200,6.5,0.204,35.894,163.902
50,200,7,0.12,30.696,169.184
50,200,7.5,0.071,26.23,173.699
50,200,8,0.042,22.402,177.556
50,200,8.5,0.025,19.126,180.85
50,200,9,0.014,16.324,183.662
50,200,9.5,0.009,13.931,186.061
50,200,10,0.005,11.887,188.109
60,50,0,50,0,0
60,50,0.5,23.892,23.103,3.005
60,50,1,11.416,29.552,9.032
60,50,1.5,5.455,28.954,15.591
60,50,2,2.607,25.721,21.672
60,50,2.5,1.246,21.814,26.94
60,50,3,0.595,18.055,31.35
60,50,3.5,0.284,14.742,34.974
60,50,4,0.136,11.944,37.92
60,50,4.5,0.065,9.633,40.302
60,50,5,0.031,7.749,42.22
60,50,5.5,0.015,6.223,43.762
60,50,6,0.007,4.993,45
60,50,6.5,0.003,4.004,45.992
60,50,7,0.002,3.21,46.788
60,50,7.5,0.001,2.573,47.426
60,50,8,0,2.062,47.938
60,50,8.5,0,1.653,48.347
60,50,9,0,1.324,48.676
60,50,9.5,0,1.061,48.939
60,50,10,0,0.85,49.15
60,100,0,100,0,0
60,100,0.5,47.784,46.206,6.01
60,100,1,22.833,59.103,18.064
60,100,1.5,10.91,57.908,31.182
60,100,2,5.213,51.442,43.345
60,100,2.5,2.491,43.628,53.881
60,100,3,1.19,36.109,62.7
60,100,3.5,0.569,29.484,69.948
60,100,4,0.272,23.888,75.841
60,100,4.5,0.13,19.266,80.604
60,100,5,0.062,15.498,84.44
60,100,5.5,0.03,12.447,87.524
60,100,6,0.014,9.987,89.999
60,100,6.5,0.007,8.009,91.984
60,100,7,0.003,6.42,93.576
60,100,7.5,0.002,5.146,94.852
60,100,8,0.001,4.124,95.875
60,100,8.5,0,3.305,96.695
60,100,9,0,2.648,97.352
60,100,9.5,0,2.122,97.878
60,100,10,0,1.701,98.3
60,200,0,200,0,0
60,200,0.5,95.567,92.412,12.021
60,200,1,45.666,118.206,36.129
60,200,1.5,21.821,115.816,62.363
60,200,2,10.427,102.884,86.69
60,200,2.5,4.982,87.256,107.762
60,200,3,2.381,72.219,125.401
60,200,3.5,1.138,58.967,139.895
60,200,4,0.544,47.775,151.682
60,200,4.5,0.26,38.532,161.208
60,200,5,0.124,30.995,168.881
60,200,5.5,0.059,24.893,175.048
60,200,6,0.028,19.974,179.998
60,200,6.5,0.014,16.018,183.969
60,200,7,0.007,12.841,187.153
60,200,7.5,0.003,10.292,189.705
60,200,8,0.002,8.248,191.75
60,200,8.5,0.001,6.61,193.39
60,200,9,0,5.297,194.703
60,200,9.5,0,4.244,195.756
60,200,10,0,3.401,196.599
70,50,0,50,0,0
70,50,0.5,18.219,26.737,5.044
70,50,1,6.638,29.493,13.869
70,50,1.5,2.419,25.336,22.245
70,50,2,0.881,20.009,29.11
70,50,2.5,0.321,15.252,34.427
70,50,3,0.117,11.438,38.445
70,50,3.5,0.043,8.512,41.446
70,50,4,0.016,6.31,43.674
70,50,4.5,0.006,4.67,45.325
70,50,5,0.002,3.453,46.546
70,50,5.5,0.001,2.551,47.448
70,50,6,0,1.885,48.115
70,50,6.5,0,1.393,48.607
70,50,7,0,1.029,48.971
70,50,7.5,0,0.76,49.24
70,50,8,0,0.561,49.439
70,50,8.5,0,0.415,49.585
70,50,9,0,0.306,49.694
70,50,9.5,0,0.226,49.774
70,50,10,0,0.167,49.833
70,100,0,100,0,0
70,100,0.5,36.437,53.474,10.089
70,100,1,13.277,58.986,27.738
70,100,1.5,4.838,50.672,44.491
70,100,2,1.763,40.018,58.22
70,100,2.5,0.642,30.503,68.855
70,100,3,0.234,22.876,76.89
70,100,3.5,0.085,17.023,82.891
70,100,4,0.031,12.621,87.348
